input_utterance,paraphrase_value,paraphrase_template
Rate this album two out of 6,Rate the album and assign it a rating of two out of six.,( S ( VP ( VP ) ( CC ) ( VP ) ) ( . ) )
Give the current part of the saga 4 points out of 6.,Give a rating of 4 out of 6 to the latest episode in the series.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Is it possible for you to put on some fifties music performed by Lavern Baker?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Play a song by Shahram Nazeri that was released in 1964 on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Please play me some Satire music,Could you find and play satirical songs for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,When is the screening of Crime and Punishment U.S.A.?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
find Fox Theatres with The Caretaker,find showings of The Caretaker at Fox Theatres,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Is there a screening of The Wedding Ring happening at the cinema?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( VP ( VBG ) ( PP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,Could you please help me find and read the book 'The Lion Sleeps Tonight'?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( S ) ) ( '' ) ( . ) )
find Join the Dots: B-sides and Rarities,find albums with B-sides and Rarities from Join the Dots,( S ( VP ( VB ) ( NP ) ) )
Where can I buy a used copy of the game called I Lie Around?,Could you please suggest places where I can get my hands on a used edition of the game known as I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,Could you help me find the cheapest airfare for a trip from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,Can you help me find a flight from Milwaukee to Orlando? I'm looking for options either on Wednesday evening or Thursday morning.,( S ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,What is the least expensive ticket price for a flight between Denver and Pittsburgh?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VP ) ) ( . ) )
what is the cheapest one way fare from boston to baltimore,How much does it cost for the cheapest one-way fare from Boston to Baltimore?,( SBARQ ( WHNP ( WRB ) ( RB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) )
what is the ground transportation from oakland to san francisco,tell me about the different modes of transportation between Oakland and San Francisco.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
can i get a rental car in dallas,are there any rental cars in Dallas that I can get?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) )
what airlines fly between boston and atlanta,can you tell me the airlines that fly from Boston to Atlanta,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
show me the airlines between boston and denver,show me the list of airlines that connect boston and denver,( S ( VP ( VB ) ( NP ) ( NP ) ) )
what does ls stand for,I'd like to know what does ls mean.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
what does dfw mean,can you explain what dfw stands for,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( SBAR ) ) )
Terminate i-a541 now,Shutdown the i-a541 right away,( S ( VP ( VB ) ( NP ) ( ADVP ) ) )
Search for cooking videos,Search for instructional videos on cooking,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) )
Find most popular photos tagged #LOVE,Discover the trending images tagged as #LOVE,( S ( VP ( VB ) ( NP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Retrieve several high-quality photographs of the Opera House with a size specification of 1024 pixels width and 768 pixels height,( S ( VP ( VB ) ( NP ) ( PP ) ) )
Are the burglar alarms in the office malfunctioning ?,Is there an issue with the burglar alarms in the office?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Is the TV in the house off ?,Did someone power down the TV at home?,( SQ ( VBD ) ( NP ( NN ) ) ( VP ( VB ) ( PRT ) ( NP ) ( PP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,Do you have any recommendations for an affordable hotel near Seattle available tomorrow to accommodate two people?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,I'm looking for budget-friendly hotels that can accommodate a 7-day stay in or around Riverside. Can you help?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Drop a line to Phil expressing ''Got your back'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) )
Give me 5 conference articles about text mining,Could you find 5 conference papers discussing text mining?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
I am looking for the latest scientific article related to Machine Learning,Is there a recent scientific paper that discusses Machine Learning that I can read?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) )
Jump to the previous song,Skip to the last played song,( S ( VP ( VB ) ( PP ) ) )
Skip to the next song,Jump to the succeeding song,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,Do you know of any shops or service centers that offer laptop upgrades?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( PP ) ) ( . ) )
Could you offer three barbershops in Newtown,Do you know of any barbershops in Newtown? I need to find three.,( S ( SQ ( VBP ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
Let me have top three convenience stores near Newtown,"I would like to know the top three convenience stores in the vicinity of Newtown, please",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
I want reviews for McDonald's at Kensington st.,Please give me some reviews about the McDonald's branch at Kensington st.,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
How far is the closest cab,What is the proximity of the nearest cab?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
Request a taxi from the airport to home,Book a taxi for the journey from the airport to my place,( S ( VP ( VB ) ( NP ) ( PP ) ) )
What is the forecast for Harrison-Crawford State Forest,What does the forecast say for Harrison-Crawford State Forest?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) )
what is the forecast for colder in Anston,could you tell me the projected weather for a drop in temperature in Anston,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
How hot is it in Pesotum,I would like to know how hot it is in Pesotum.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","I'm planning to go to a pub with Italian dressing for my event on February 11, 2033. Can you help me find one?",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Arrange to eat at a taverna in Equatorial Guinea this month with nine people.,( S ( VP ( VB ) ( S ) ) ( . ) )
Book a table for eight people please,Can you help me book a table for a group of eight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Could you please add Ruud Jolie to the playlist called Guest List Polygon?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( S ) ) ( . ) )
add this artist named Kirk Hammett to my playlist Party,put Kirk Hammett in my Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) )
I want to put a copy of this tune into Skatepark Punks,Please insert a duplicate of this melody into Skatepark Punks.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","What is the rating for With Lee in Virginia, A Story of the American Civil War volume number 4?",( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
Rate this album two out of 6,"On a rating scale from one to six, what rating would you give this album?","( PP ( PP ( IN ) ( NP ) ) ( , ) ( WHNP ( WDT ) ( NN ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )"
Give the current part of the saga 4 points out of 6.,Give a score of 4 out of 6 to the latest installment in the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Is it possible for you to put on some songs from the fifties by lavern baker?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Find and play a 1964 music track performed by Shahram Nazeri on Pandora.,( S ( VP ( VB ) ( CC ) ( VB ) ( NP ) ) ( . ) )
Please play me some Satire music,Could you please put on some Satire music for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,I'd like to know the schedule for Crime and Punishment U.S.A.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
find Fox Theatres with The Caretaker,discover theaters playing The Caretaker by searching for Fox Theatres,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Could you assist me in finding a screening of The Wedding Ring at the movies?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,Could you recommend any books similar to The Lion Sleeps Tonight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
find Join the Dots: B-sides and Rarities,find places that have Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( NP ) ) )
Where can I buy a used copy of the game called I Lie Around?,In which locations can I find a used edition of the game named I Lie Around?,( SBARQ ( WHPP ( IN ) ( WHNP ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,Could you assist me in finding the cheapest flight option between Denver and Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,I'm interested in flying from Milwaukee to Orlando. Is it possible for me to choose between arriving on Wednesday evening or Thursday morning?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ( SQ ( VBZ ) ( NP ) ( ADJP ) ( SBAR ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,can you give me information on the most affordable ticket price for a trip from Denver to Pittsburgh,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
what is the cheapest one way fare from boston to baltimore,tell me the least expensive one-way fare for traveling between Boston and Baltimore,( S ( VP ( VB ) ( NP ) ( NP ) ) )
what is the ground transportation from oakland to san francisco,I'd like information about getting from Oakland to San Francisco. Can you help?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) )
can i get a rental car in dallas,Can I find rental cars in Dallas?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
what airlines fly between boston and atlanta,show me the air carriers offering service between boston and atlanta,( S ( VP ( VB ) ( NP ) ( NP ) ) )
show me the airlines between boston and denver,provide me with information about the airlines serving the route from Boston to Denver,( S ( VP ( VB ) ( NP ) ( PP ) ) )
what does ls stand for,tell me the definition of ls,( S ( VP ( VB ) ( NP ) ( NP ) ) )
what does dfw mean,I need to know what DFW stands for.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
Terminate i-a541 now,Finish i-a541 at once,( S ( VP ( VB ) ( NP ) ( PP ) ) )
Search for cooking videos,Search for instructional videos on cooking,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) )
Find most popular photos tagged #LOVE,Search for the top-rated images associated with #LOVE,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Locate some high-quality pictures that represent the Opera House with dimensions of 1024 pixels by 768 pixels,( S ( VP ( VB ) ( NP ) ) )
Are the burglar alarms in the office malfunctioning ?,Are there any problems with the burglar alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Is the TV in the house off ?,Is the television inside turned off?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( ADVP ( RB ) ) ( VP ( VBN ) ( PRT ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,Do you have any recommendations for a cheap hotel near Seattle available for tomorrow and suitable for 2 individuals?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,Is there a place nearby Riverside where I can find affordable hotels for a 7-day duration?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( ADVP ) ) ( NP ( NNP ) ) ( SBAR ( WHADVP ) ( S ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Compose an email to Phil informing her that ''You can rely on me''.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Give me 5 conference articles about text mining,Can you show me five conference articles regarding text mining?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
I am looking for the latest scientific article related to Machine Learning,Do you have any information on the latest scientific article connected to Machine Learning?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Generate a remark stating ''Most Amazing Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) )
Jump to the previous song,Move to the last played music,( S ( VP ( VB ) ( PP ) ) )
Skip to the next song,Skip to the succeeding song,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,Can you suggest some places where I can upgrade my laptop?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Could you offer three barbershops in Newtown,Do you have a list of three barbershops available in Newtown?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Let me have top three convenience stores near Newtown,I would like to know which are the top three convenience stores near Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,Please provide me with reviews of the McDonald's branch situated on Kensington st.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
How far is the closest cab,What's the proximity of the closest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
Request a taxi from the airport to home,Arrange for a cab ride from the airport to my house,( S ( VP ( VB ) ( PP ) ) )
What is the forecast for Harrison-Crawford State Forest,I would like to know the forecasted conditions for Harrison-Crawford State Forest,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
what is the forecast for colder in Anston,What can you tell me about the weather in Anston when it becomes colder?,( SBARQ ( WHNP ( WP ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
How hot is it in Pesotum,I want to know how hot it is in Pesotum.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Could you help me locate a pub that has Italian dressing and is available for hosting a party of 5 on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Schedule a dinner at a taverna in Equatorial Guinea this month for nine guests.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) )
Book a table for eight people please,Could you help me book a table for eight individuals?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Put Ruud Jolie on my playlist called Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,put this musician called Kirk Hammett into my Party playlist,( S ( VP ( VB ) ( NP ) ( S ) ) )
I want to put a copy of this tune into Skatepark Punks,Is it possible for me to include a copy of this track in Skatepark Punks?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","Could you give me your feedback on With Lee in Virginia, A Story of the American Civil War chronicle's fourth installment?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Rate this album two out of 6,"Rate this album with a rating scale from one to six, giving it a score of two","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( S ) ) )"
Give the current part of the saga 4 points out of 6.,Provide a rating on a scale from one to six for the present installment in the saga.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Can you play some fifties music by lavern baker,Is it possible for you to play some Lavern Baker songs from the fifties?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Can you find and play a track by Shahram Nazeri released in 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ) ( . ) )
Please play me some Satire music,Can you start playing some music that falls into the category of Satire?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,I'd like to know the schedule for Crime and Punishment U.S.A.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
find Fox Theatres with The Caretaker,find cinema playing The Caretaker at Fox Theatres,( S ( VP ( VB ) ( S ) ) )
I would like to watch The Wedding Ring at the movie theatre,I want to catch a screening of The Wedding Ring at the cinema.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,Can you suggest a good read like The Lion Sleeps Tonight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Where can I buy a used copy of the game called I Lie Around?,Can you recommend any shops that sell used copies of the game titled I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,Could you assist in finding the cheapest flight available between Denver and Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( PP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,Can you help me find flights that go from Milwaukee to Orlando either in the evening on Wednesday or in the morning on Thursday?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,can you tell me the least expensive cost for traveling from Denver to Pittsburgh,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
what is the cheapest one way fare from boston to baltimore,what is the most affordable single trip fare from Boston to Baltimore,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the ground transportation from oakland to san francisco,tell me about the different ways to get from Oakland to San Francisco on land.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
can i get a rental car in dallas,Are there any rental cars available in Dallas?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( ADJP ) ) ( . ) )
what airlines fly between boston and atlanta,I'd like to know the airlines that offer flights from Boston to Atlanta.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
show me the airlines between boston and denver,find flights from boston to denver,( S ( VP ( VB ) ( NP ) ) )
what does ls stand for,Please explain what does ls stand for.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( SBAR ) ) ( . ) )
what does dfw mean,Please explain what DFW stands for.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( SBAR ) ) ( . ) )
Terminate i-a541 now,Finish the i-a541 at once,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) )
Search for cooking videos,Discover cooking tutorials,( S ( VP ( VB ) ( NP ) ) )
Find most popular photos tagged #LOVE,Search for the trending photos associated with #LOVE,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,"Discover a handful of stunning photos featuring the Opera House, all with dimensions of 1024 pixels by 768 pixels",( S ( VP ( VB ) ( NP ) ) )
Are the burglar alarms in the office malfunctioning ?,Is there a problem with the burglar alarms in the office?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Is the TV in the house off ?,Did someone turn off the TV in the house?,( SQ ( VBD ) ( NP ( NN ) ) ( VP ( VB ) ( PRT ) ( NP ) ( PP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,"Do you have any suggestions for an affordable hotel in the Seattle area available tomorrow night, accommodating two guests?","( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( , ) ( S ) ) ( . ) )"
Are there any cheap hotels for 7-day stay somewhere near Riverside,"Is it possible to locate inexpensive lodging options where I can spend a week, preferably near Riverside?",( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Send a message to Phil letting her know that ''I see your point'',( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) )
Give me 5 conference articles about text mining,Retrieve 5 conference articles that discuss text mining,( S ( VP ( VB ) ( NP ) ) )
I am looking for the latest scientific article related to Machine Learning,Could you find and present me with the latest research paper on Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Compose a comment stating ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) )
Jump to the previous song,Move to the last played song,( S ( VP ( VB ) ( PP ) ) )
Skip to the next song,Skip to the upcoming music,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,Are there any places that offer upgrades for laptops?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) )
Could you offer three barbershops in Newtown,Do you know any barbershops in Newtown? I need at least three options.,( S ( SQ ( VBP ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ) ( . ) )
Let me have top three convenience stores near Newtown,Please provide a list of the top three convenience stores in the vicinity of Newtown.,( S ( INTJ ( UH ) ) ( VP ( VB ) ( NP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,Do you have any information about the reviews of the McDonald's restaurant situated on Kensington Street?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
How far is the closest cab,How close is the nearest taxi?,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )
Request a taxi from the airport to home,Book a ride from the airport to my place,( S ( VP ( VB ) ( NP ) ( PP ) ) )
What is the forecast for Harrison-Crawford State Forest,Could you give me an update on the weather conditions at Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what is the forecast for colder in Anston,Could you provide me with the weather prediction for Anston when it's colder?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( SBAR ) ) ( . ) )
How hot is it in Pesotum,I'm curious about the temperature in Pesotum.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Is there a pub available on February 11, 2033 that has Italian dressing and can host a party of size five?",( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( ADJP ) ) ( PP ( IN ) ( NP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,"Book a table at a local taverna in Equatorial Guinea for the next month, accommodating nine individuals.","( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ( , ) ( S ) ) ( . ) )"
Book a table for eight people please,Could you help me secure a table for eight individuals?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Put Ruud Jolie on my Guest List Polygon playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,put this singer called Kirk Hammett on my Party playlist,( S ( VP ( VB ) ( NP ) ( S ) ) )
I want to put a copy of this tune into Skatepark Punks,Could you assist me in placing a copy of this track into Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","I am looking to give a rating to With Lee in Virginia, A Story of the American Civil War chronicle number 4 out of a total incomplete series.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Rate this album two out of 6,Rate this album on a scale from two to six.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Give the current part of the saga 4 points out of 6.,Provide a score of 4 out of 6 points for the current installment in the saga.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Can you play some fifties music by lavern baker,Is it possible for you to put on some fifties music performed by Lavern Baker?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Could you find and play a song from 1964 by Shahram Nazeri on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) )
Please play me some Satire music,Could you please play some music that falls into the genre of Satire?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,I would like to know when Crime and Punishment U.S.A. is being screened.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
find Fox Theatres with The Caretaker,find showtimes for the movie The Caretaker at Fox Theatres,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Is there any cinema showing The Wedding Ring that I can go to?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,Can you find me the publication called The Lion Sleeps Tonight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
find Join the Dots: B-sides and Rarities,find places with Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( NP ) ) )
Where can I buy a used copy of the game called I Lie Around?,Which place sells previously owned copies of the game called I Lie Around?,( FRAG ( SBAR ( WHNP ) ( S ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,Please assist me in locating the cheapest flight available from Denver to Pittsburgh.,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
