input_utterance,intent,parameters,utterance_template,source,seed_id,p1,p1_template,p2,p2_template,p3,p3_template
what does dfw mean,abbreviation,"[['airport_code', 'dfw']]",( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),ATIS,51,can you explain the meaning of dfw,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),define dfw for me,( S ( VP ( VB ) ( NP ) ( PP ) ) ),please tell me the definition of dfw,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
Terminate i-a541 now,EndEC2Instance,"[['VM', 'i-a541']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),ParaQuality,1,End i-a541 immediately,( NP ( NP ( NN ) ( NN ) ) ( ADVP ( RB ) ) ),Stop i-a541 now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),Finish i-a541 at once,( S ( VP ( VB ) ( NP ) ( PP ) ) )
Search for cooking videos,SearchWeb,"[['query', 'cooking videos']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,2,Find videos about cooking,( S ( VP ( VB ) ( NP ) ) ),Look for tutorials on cooking,( S ( VP ( VB ) ( PP ) ) ),Discover culinary videos,( S ( VP ( VB ) ( NP ) ) )
Find most popular photos tagged #LOVE,SearchWeb,"[['Tag', '#LOVE']]",( S ( S ( VP ) ) ( VP ( VBP ) ) ),ParaQuality,3,Search for the most liked pictures with the #LOVE tag,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),Discover the top-rated photos labeled #LOVE,( S ( S ( VP ) ) ( VP ( VBP ) ) ),Find the trendiest images tagged #LOVE,( S ( VP ( VB ) ( S ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,SearchWeb,"[['size', '1024px * 768px'], ['query', 'Opera House']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,4,Look for some beautiful images of Opera House with dimensions 1024px * 768px,( S ( VP ( VB ) ( PP ) ) ),"Find a couple of great pictures that go well with Opera House, sized at 1024px * 768px",( S ( VP ( VB ) ( NP ) ) ),"Retrieve a handful of lovely photographs that match Opera House, measuring 1024 pixels in width and 768 pixels in height",( S ( VP ( VB ) ( NP ) ) )
Are the burglar alarms in the office malfunctioning ?,CheckDevice,"[['location', 'office']]",( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),ParaQuality,5,Do the burglar alarms in the office have a malfunction?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Are there any problems with the burglar alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),Are the burglar alarms in need of repair or not functioning correctly?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( VP ( PP ) ( CC ) ( RB ) ( VP ) ) ( . ) )
Is the TV in the house off ?,CheckDevice,"[['device', 'TV']]",( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),ParaQuality,6,Has the TV in the house been turned off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) ),Did anyone switch off the TV in the house?,( SQ ( VBD ) ( NP ( NN ) ) ( VP ( VB ) ( PRT ) ( NP ) ( PP ) ) ( . ) ),Is there any activity on the TV in the house?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,FindHotel,"[['location', 'Seattle'], ['num_of_guests', '2']]",( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,7,"Can you recommend a budget-friendly hotel in the vicinity of Seattle for tomorrow, accommodating two people?","( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( , ) ( S ) ) ( . ) )",I'm looking for a cheap hotel near Seattle for tomorrow. Any recommendations for a place that can accommodate two guests?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( NP ) ) ( . ) ),Do you have any suggestions on an affordable hotel near Seattle? I need it for tomorrow and it should be able to accommodate two people.,( S ( SQ ( VBP ) ( NP ) ( VP ) ) ( . ) ( S ( NP ) ( VP ) ) ( CC ) ( S ( NP ) ( VP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,FindHotel,"[['location', 'Riverside'], ['stay_length', '7-day']]",( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),ParaQuality,8,Can you find me affordable accommodations for a week-long stay in the vicinity of Riverside?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),I'm looking for budget-friendly hotels that offer a seven-day stay near Riverside. Can you help me with that?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),Do you know of any inexpensive places to stay around Riverside for a duration of one week?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( PP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',SendMail,"[['contact', 'Phil'], ['message', 'I got you']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),ParaQuality,9,Please send an email to Phil and inform her that I said 'I got you'.,( S ( WHNP ( UH ) ) ( VP ( VP ) ( CC ) ( VP ) ) ( '' ) ( . ) ),"Could you please help me by sending an email to Phil, letting her know that I said 'I got you'?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( '' ) ( . ) ),Can you send an email to Phil and tell her that I have her back?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VP ) ( CC ) ( VP ) ) ( . ) )
Give me 5 conference articles about text mining,FindArticles,"[['query', 'text mining'], ['count', '5'], ['article_type', 'conference articles']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),ParaQuality,10,Can you provide me with 5 conference articles related to text mining?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),I would like to find 5 conference articles that discuss text mining.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you show me 5 conference articles on the topic of text mining?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
I am looking for the latest scientific article related to Machine Learning,FindArticles,[],( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),ParaQuality,11,Can you find me the most recent scientific paper about Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Could you help me locate the latest scientific article on Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),I need assistance in finding the most up-to-date scientific paper pertaining to Machine Learning.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',CreateComment,"[['value', 'Best Voice Ever']]",( S ( VP ( VB ) ( NP ) ) ( '' ) ),ParaQuality,12,Make a comment that says 'Best Voice I've ever heard',( S ( VP ( VB ) ( NP ) ) ( '' ) ),Generate a comment that states 'Exceptional voice quality',( S ( VP ( VB ) ( NP ) ) ( '' ) ),Compose a comment expressing praise for the excellent voice,( S ( VP ( VB ) ( NP ) ) )
Jump to the previous song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,13,Go back to the last song,( S ( VP ( VB ) ( ADVP ) ) ),Navigate to the previous track,( S ( VP ( VB ) ( PP ) ) ),Switch to the song played before,( S ( S ( VP ) ) ( VP ( VBD ) ( ADVP ) ) )
Skip to the next song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,14,Go to the next track,( S ( VP ( VB ) ( PP ) ) ),Jump to the following song,( S ( VP ( VB ) ( PP ) ) ),Skip to the succeeding music,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,FindStores,"[['query', 'laptop']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),ParaQuality,15,Can you help me find a place to upgrade my laptop?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),I'm looking for a location where I can upgrade my laptop.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),Do you know any places that offer laptop upgrades?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Could you offer three barbershops in Newtown,FindStores,"[['location', 'Newtown']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),ParaQuality,16,Can you suggest three barber shops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),I would like recommendations for three barber shops in Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Would it be possible to find me three barbershops located in Newtown?,( SQ ( MD ) ( NP ( NP ) ) ( VP ( VB ) ( ADJP ) ( S ) ) ( . ) )
Let me have top three convenience stores near Newtown,FindStores,"[['location', 'Newtown'], ['business', 'convenience stores']]",( S ( VP ( VB ) ( S ) ) ),ParaQuality,17,Can you show me the best three convenience stores around Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I would like to find the top three convenience stores close to Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Please provide me with a list of the three best convenience stores near Newtown.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,GetReviews,"[['location', 'Kensington st.'], ['business', ""McDonald's""]]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),ParaQuality,18,Can you show me the ratings for McDonald's on Kensington street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I'm looking for feedback about McDonald's located at Kensington st.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),Please provide me with the reviews for the McDonald's restaurant on Kensington Street.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
How far is the closest cab,FindTaxi,[],( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ),ParaQuality,19,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) ),Can you tell me the distance of the closest cab?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),How close is the nearest cab?,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )
Request a taxi from the airport to home,BookTaxi,"[['from', 'airport'], ['to', 'home']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),ParaQuality,20,Order a cab from the airport to my place,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ),Get me a taxi from the airport to my house,( S ( VP ( VB ) ( S ) ( PP ) ) ),Arrange for a taxi to pick me up at the airport and drop me off at home,( S ( VP ( VB ) ( PP ) ( S ) ) )
What is the forecast for Harrison-Crawford State Forest,GetWeather,"[['geographic_poi', 'Harrison-Crawford State Forest']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,21,Tell me the weather forecast for Harrison-Crawford State Forest,( S ( VP ( VB ) ( NP ) ( NP ) ) ),Can you provide the weather prediction for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"I'm curious about the forecast of Harrison-Crawford State Forest, what is it?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SBARQ ) ) ( . ) )"
what is the forecast for colder in Anston,GetWeather,"[['condition_temperature', 'colder'], ['city', 'Anston']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,22,what is the weather prediction for Anston being colder?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),can you tell me about the forecast indicating colder temperatures in Anston?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),what can you tell me about the expected colder conditions in Anston?,( SBARQ ( WHNP ( WP ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
How hot is it in Pesotum,GetWeather,"[['condition_temperature', 'hot'], ['city', 'Pesotum']]",( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),SNIPS,23,What is the temperature in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) ),Can you tell me the current temperature in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),I would like to know how hot it is in Pesotum.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",BookRestaurant,"[['restaurant_type', 'pub'], ['served_dish', 'italian dressing'], ['party_size_number', '5'], ['timeRange', 'February 11, 2033']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,24,"Can you find a pub that serves Italian dressing for a group of 5 people on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"Is there a pub that offers Italian dressing where I can go with a party of five on February 11, 2033?",( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),"Do you know any pubs that have Italian dressing and can accommodate a party of five on February 11, 2033?",( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,BookRestaurant,"[['restaurant_type', 'taverna'], ['country', 'Equatorial Guinea'], ['timeRange', 'this month'], ['party_size_number', 'nine']]",( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),SNIPS,25,Reserve a restaurant in Equatorial Guinea for nine people this month.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),Find a place to eat in Equatorial Guinea that can accommodate nine people this month.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Make a reservation at a taverna in Equatorial Guinea for a group of nine this month.,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ( NP ) ) ( . ) )
Book a table for eight people please,BookRestaurant,"[['party_size_number', 'eight']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),SNIPS,26,Please reserve a table for a group of eight,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ) ),I would like to make a booking for eight people,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),Can you help me arrange a table reservation for eight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,AddToPlaylist,"[['artist', 'Ruud Jolie'], ['playlist_owner', 'my'], ['playlist', 'Guest List Polygon']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,27,Add Ruud Jolie to my playlist called Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Include Ruud Jolie in the Guest List Polygon playlist,( VP ( VB ) ( NP ( NP ) ( PP ) ) ),Put Ruud Jolie on the Guest List Polygon playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,AddToPlaylist,"[['music_item', 'artist'], ['artist', 'Kirk Hammett'], ['playlist_owner', 'my'], ['playlist', 'Party']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,28,include this musician called Kirk Hammett in my Party playlist,( S ( VP ( VB ) ( NP ) ) ),add the artist named Kirk Hammett to the Party playlist,( S ( VP ( VB ) ( NP ) ) ),"put Kirk Hammett, the artist, into my Party playlist",( S ( VP ( VB ) ( NP ) ( PP ) ) )
I want to put a copy of this tune into Skatepark Punks,AddToPlaylist,"[['music_item', 'tune'], ['playlist', 'Skatepark Punks']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,29,Can you add this song to Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),I would like to insert a copy of this melody into Skatepark Punks.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Is it possible to transfer this track into Skatepark Punks?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",RateBook,"[['object_name', 'With Lee in Virginia, A Story of the American Civil War'], ['object_part_of_series_type', 'chronicle'], ['rating_value', '4'], ['best_rating', '6']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,30,"The book I would rate is the fourth installment, With Lee in Virginia: A Story of the American Civil War.",( S ( NP ( NP ) ( SBAR ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),"I want to review With Lee in Virginia: A Story of the American Civil War, which is the 4th out of 6 books.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),"The chronicle that I would like to give feedback on is number 4 out of a total of 6, titled With Lee in Virginia.",( S ( NP ( NP ) ( SBAR ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )
Rate this album two out of 6,RateBook,"[['object_select', 'this'], ['object_type', 'album'], ['rating_value', 'two'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,31,Give this album a rating of two out of six,( S ( VP ( VB ) ( NP ) ( NP ) ) ),Rate this album with a score of 2 out of 6,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Can you assign a rating of two out of six to this album?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Give the current part of the saga 4 points out of 6.,RateBook,"[['object_select', 'current'], ['object_part_of_series_type', 'saga'], ['rating_value', '4'], ['rating_unit', 'points'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),SNIPS,32,Rate this part of the saga with a score of 4 out of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Assign a rating of 4 out of 6 to the current installment of the saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Give this section in the saga a score of 4 out of a possible 6.,( S ( VP ( VB ) ( NP ) ( PP ) ( NP ) ) ( . ) )
Can you play some fifties music by lavern baker,PlayMusic,"[['year', 'fifties'], ['artist', 'lavern baker']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,33,Could you please play some fifties music performed by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),"I'm in the mood for fifties music sung by Lavern Baker, can you play it?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Is it possible to listen to some fifties tunes from the artist Lavern Baker?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,PlayMusic,"[['year', '1964'], ['music_item', 'track'], ['artist', 'Shahram Nazeri'], ['service', 'Pandora']]",( S ( VP ( VB ) ( NP ) ) ( . ) ),SNIPS,34,Play a Shahram Nazeri track from 1964 on Pandora.,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) ),Find and play a song by Shahram Nazeri released in 1964 on Pandora.,( S ( VP ( VB ) ( CC ) ( VB ) ( NP ) ) ( . ) ),Can you play a track from Shahram Nazeri that was recorded in 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Please play me some Satire music,PlayMusic,"[['genre', 'Satire']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,35,Can you find and play some Satire music for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( . ) ),"I would like to listen to some Satire music, can you play it for me?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )",Could you please find and play Satire music?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,SearchScreeningEvent,"[['movie_name', 'Crime and Punishment U.S.A.']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SNIPS,36,What are the showtimes for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBP ) ( NP ) ) ( . ) ),When can I catch Crime and Punishment U.S.A.?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),Tell me when Crime and Punishment U.S.A. will be playing?,( S ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
find Fox Theatres with The Caretaker,SearchScreeningEvent,"[['location_name', 'Fox Theatres'], ['movie_name', 'The Caretaker']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,37,search for The Caretaker at Fox Theatres,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ( PP ( IN ) ( NP ) ) ),locate Fox Theatres showing The Caretaker,( S ( VP ( VB ) ( NP ) ) ),find a screening of The Caretaker at Fox Theatres,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,SearchScreeningEvent,"[['movie_name', 'The Wedding Ring'], ['object_location_type', 'movie theatre']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,38,Can you find showtimes for The Wedding Ring at the cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Is The Wedding Ring playing at the local movie theater?,( SQ ( VBZ ) ( NP ( DT ) ( NNP ) ( NNP ) ) ( VP ( VBG ) ( PP ) ) ( . ) ),Where can I see a screening of The Wedding Ring in theaters?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,SearchCreativeWork,"[['object_type', 'book'], ['object_name', 'The Lion Sleeps Tonight']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,39,I would like to read the book called The Lion Sleeps Tonight.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Can you please show me the book titled The Lion Sleeps Tonight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),Is it possible for me to read The Lion Sleeps Tonight book?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,search for Join the Dots: B-sides and Rarities,( NP ( NP ( NP ) ( PP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),locate Join the Dots: B-sides and Rarities,( S ( S ( VP ) ) ( : ) ( NP ( NNS ) ( CC ) ( NNPS ) ) ),find places where I can listen to Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( NP ) ) )
Where can I buy a used copy of the game called I Lie Around?,SearchCreativeWork,"[['object_type', 'game'], ['object_name', 'I Lie Around']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SNIPS,41,Can you tell me where I can find a second-hand copy of the game called I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) ),I'm looking for a place to purchase a pre-owned version of the game called I Lie Around. Any ideas?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),Do you have any suggestions on where to buy a used copy of the game named I Lie Around?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,flight,"[['cost_relative', 'cheapest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),ATIS,42,Can you find the least expensive flight from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),I would like to know the most affordable flight from Denver to Pittsburgh.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),Could you help me find the cheapest ticket for a flight from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,flight,"[['fromloc.city_name', 'milwaukee'], ['toloc.city_name', 'orlando'], ['depart_date.day_name', 'wednesday'], ['depart_time.period_of_day', 'evening'], ['depart_date.day_name', 'thursday'], ['depart_time.period_of_day', 'morning']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),ATIS,43,"I need to book a flight from Milwaukee to Orlando, either on Wednesday in the evening or Thursday in the morning.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),"Can you help me find flights departing from Milwaukee and arriving at Orlando? I'm flexible with my departure time, it can be either Wednesday evening or Thursday morning.","( S ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ( S ( NP ) ( VP ) ) ( , ) ( S ( NP ) ( VP ) ) ( . ) )",I'm looking for flights going from Milwaukee to Orlando. I can leave on either Wednesday evening or Thursday morning.,( S ( S ( NP ) ( VP ) ) ( . ) ( S ( NP ) ( VP ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,airfare,"[['cost_relative', 'lowest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,44,what is the cheapest price for a flight from denver to pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),how much does it cost to fly from denver to pittsburgh,( SBARQ ( WHNP ( WRB ) ( RB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),can you tell me the least expensive fare for a trip between denver and pittsburgh,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
what is the cheapest one way fare from boston to baltimore,airfare,"[['cost_relative', 'cheapest'], ['round_trip', 'one way'], ['fromloc.city_name', 'boston'], ['toloc.city_name', 'baltimore']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,45,What is the most inexpensive single ticket price from Boston to Baltimore?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VP ) ) ( . ) ),Can you find me the cheapest fare for a one-way trip from Boston to Baltimore?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),"I'm looking for the lowest cost for a one-way journey from Boston to Baltimore, can you help me with that?",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
