input_utterance,intent,parameters,utterance_template,source,seed_id,paraphrase_value,paraphrase_template,bertscore,ted
What is the forecast for Harrison-Crawford State Forest,GetWeather,"[['geographic_poi', 'Harrison-Crawford State Forest']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,21,I would like to know the forecasted conditions for Harrison-Crawford State Forest,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),0.9404519,5.0
what is the forecast for colder in Anston,GetWeather,"[['condition_temperature', 'colder'], ['city', 'Anston']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,22,What can you tell me about the weather in Anston when it becomes colder?,( SBARQ ( WHNP ( WP ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),0.89282537,4.0
How hot is it in Pesotum,GetWeather,"[['condition_temperature', 'hot'], ['city', 'Pesotum']]",( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),SNIPS,23,I want to know how hot it is in Pesotum.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),0.929405,8.0
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",BookRestaurant,"[['restaurant_type', 'pub'], ['served_dish', 'italian dressing'], ['party_size_number', '5'], ['timeRange', 'February 11, 2033']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,24,"Could you help me locate a pub that has Italian dressing and is available for hosting a party of 5 on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.9238165,5.0
Book a taverna in Equatorial Guinea this month for nine people.,BookRestaurant,"[['restaurant_type', 'taverna'], ['country', 'Equatorial Guinea'], ['timeRange', 'this month'], ['party_size_number', 'nine']]",( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),SNIPS,25,Schedule a dinner at a taverna in Equatorial Guinea this month for nine guests.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),0.9555763,0.0
Book a table for eight people please,BookRestaurant,"[['party_size_number', 'eight']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),SNIPS,26,Could you help me book a table for eight individuals?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.8832049,6.0
Please add Ruud Jolie to my playlist Guest List Polygon,AddToPlaylist,"[['artist', 'Ruud Jolie'], ['playlist_owner', 'my'], ['playlist', 'Guest List Polygon']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,27,Put Ruud Jolie on my playlist called Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.9220359,2.0
add this artist named Kirk Hammett to my playlist Party,AddToPlaylist,"[['music_item', 'artist'], ['artist', 'Kirk Hammett'], ['playlist_owner', 'my'], ['playlist', 'Party']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,28,put this musician called Kirk Hammett into my Party playlist,( S ( VP ( VB ) ( NP ) ( S ) ) ),0.9628444,1.0
I want to put a copy of this tune into Skatepark Punks,AddToPlaylist,"[['music_item', 'tune'], ['playlist', 'Skatepark Punks']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,29,Is it possible for me to include a copy of this track in Skatepark Punks?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),0.9378217,8.0
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",RateBook,"[['object_name', 'With Lee in Virginia, A Story of the American Civil War'], ['object_part_of_series_type', 'chronicle'], ['rating_value', '4'], ['best_rating', '6']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,30,"Could you give me your feedback on With Lee in Virginia, A Story of the American Civil War chronicle's fourth installment?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.88127804,6.0
Rate this album two out of 6,RateBook,"[['object_select', 'this'], ['object_type', 'album'], ['rating_value', 'two'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,31,"Rate this album with a rating scale from one to six, giving it a score of two","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( S ) ) )",0.87029064,2.0
Give the current part of the saga 4 points out of 6.,RateBook,"[['object_select', 'current'], ['object_part_of_series_type', 'saga'], ['rating_value', '4'], ['rating_unit', 'points'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),SNIPS,32,Provide a rating on a scale from one to six for the present installment in the saga.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.88036275,1.0
Can you play some fifties music by lavern baker,PlayMusic,"[['year', 'fifties'], ['artist', 'lavern baker']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,33,Is it possible for you to play some Lavern Baker songs from the fifties?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),0.8899772,8.0
Play a 1964 track from Shahram Nazeri on Pandora.,PlayMusic,"[['year', '1964'], ['music_item', 'track'], ['artist', 'Shahram Nazeri'], ['service', 'Pandora']]",( S ( VP ( VB ) ( NP ) ) ( . ) ),SNIPS,34,Can you find and play a track by Shahram Nazeri released in 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ) ( . ) ),0.92540145,6.0
Please play me some Satire music,PlayMusic,"[['genre', 'Satire']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,35,Can you start playing some music that falls into the category of Satire?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.884019,7.0
When is Crime and Punishment U.S.A. showing?,SearchScreeningEvent,"[['movie_name', 'Crime and Punishment U.S.A.']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SNIPS,36,I'd like to know the schedule for Crime and Punishment U.S.A.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.9090005,6.0
find Fox Theatres with The Caretaker,SearchScreeningEvent,"[['location_name', 'Fox Theatres'], ['movie_name', 'The Caretaker']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,37,find cinema playing The Caretaker at Fox Theatres,( S ( VP ( VB ) ( S ) ) ),0.91723716,2.0
I would like to watch The Wedding Ring at the movie theatre,SearchScreeningEvent,"[['movie_name', 'The Wedding Ring'], ['object_location_type', 'movie theatre']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,38,I want to catch a screening of The Wedding Ring at the cinema.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) ),0.95213985,3.0
I want to read the book The Lion Sleeps Tonight,SearchCreativeWork,"[['object_type', 'book'], ['object_name', 'The Lion Sleeps Tonight']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,39,Can you suggest a good read like The Lion Sleeps Tonight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.91806024,5.0
Where can I buy a used copy of the game called I Lie Around?,SearchCreativeWork,"[['object_type', 'game'], ['object_name', 'I Lie Around']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SNIPS,41,Can you recommend any shops that sell used copies of the game titled I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9197422,7.0
please give me the cheapest flight from denver to pittsburgh,flight,"[['cost_relative', 'cheapest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),ATIS,42,Could you assist in finding the cheapest flight available between Denver and Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( PP ) ) ( . ) ),0.90455145,7.0
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,flight,"[['fromloc.city_name', 'milwaukee'], ['toloc.city_name', 'orlando'], ['depart_date.day_name', 'wednesday'], ['depart_time.period_of_day', 'evening'], ['depart_date.day_name', 'thursday'], ['depart_time.period_of_day', 'morning']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),ATIS,43,Can you help me find flights that go from Milwaukee to Orlando either in the evening on Wednesday or in the morning on Thursday?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.9049129,4.0
what is the lowest fare from denver to pittsburgh,airfare,"[['cost_relative', 'lowest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,44,can you tell me the least expensive cost for traveling from Denver to Pittsburgh,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),0.89415205,7.0
what is the cheapest one way fare from boston to baltimore,airfare,"[['cost_relative', 'cheapest'], ['round_trip', 'one way'], ['fromloc.city_name', 'boston'], ['toloc.city_name', 'baltimore']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,45,what is the most affordable single trip fare from Boston to Baltimore,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),0.9455583,1.0
what is the ground transportation from oakland to san francisco,ground_service,"[['fromloc.city_name', 'oakland'], ['toloc.city_name', 'san francisco']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,46,tell me about the different ways to get from Oakland to San Francisco on land.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.8911075,6.0
can i get a rental car in dallas,ground_service,"[['transport_type', 'rental car'], ['city_name', 'dallas']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),ATIS,47,Are there any rental cars available in Dallas?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( ADJP ) ) ( . ) ),0.89812815,6.0
what airlines fly between boston and atlanta,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'atlanta']]",( SBAR ( WHNP ( WP ) ) ( S ( NP ) ( VP ) ) ),ATIS,48,I'd like to know the airlines that offer flights from Boston to Atlanta.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.8874425,6.0
show me the airlines between boston and denver,airline,"[['fromloc.city_name', 'boston'], ['toloc.city_name', 'denver']]",( S ( VP ( VB ) ( S ) ) ),ATIS,49,find flights from boston to denver,( S ( VP ( VB ) ( NP ) ) ),0.9303113,1.0
what does ls stand for,abbreviation,"[['meal_code', 'ls']]",( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),ATIS,50,Please explain what does ls stand for.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( SBAR ) ) ( . ) ),0.9501962,7.0
what does dfw mean,abbreviation,"[['airport_code', 'dfw']]",( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ),ATIS,51,Please explain what DFW stands for.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( SBAR ) ) ( . ) ),0.9076329,7.0
Terminate i-a541 now,EndEC2Instance,"[['VM', 'i-a541']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),ParaQuality,1,Finish the i-a541 at once,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ),0.9249232,2.0
Search for cooking videos,SearchWeb,"[['query', 'cooking videos']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,2,Discover cooking tutorials,( S ( VP ( VB ) ( NP ) ) ),0.9359415,4.0
Find most popular photos tagged #LOVE,SearchWeb,"[['Tag', '#LOVE']]",( S ( S ( VP ) ) ( VP ( VBP ) ) ),ParaQuality,3,Search for the trending photos associated with #LOVE,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),0.9267563,6.0
Search for a few nice photos matching Opera House with size 1024px * 768px,SearchWeb,"[['size', '1024px * 768px'], ['query', 'Opera House']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,4,"Discover a handful of stunning photos featuring the Opera House, all with dimensions of 1024 pixels by 768 pixels",( S ( VP ( VB ) ( NP ) ) ),0.91725177,4.0
Are the burglar alarms in the office malfunctioning ?,CheckDevice,"[['location', 'office']]",( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),ParaQuality,5,Is there a problem with the burglar alarms in the office?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),0.94871306,9.0
Is the TV in the house off ?,CheckDevice,"[['device', 'TV']]",( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),ParaQuality,6,Did someone turn off the TV in the house?,( SQ ( VBD ) ( NP ( NN ) ) ( VP ( VB ) ( PRT ) ( NP ) ( PP ) ) ( . ) ),0.9341161,8.0
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,FindHotel,"[['location', 'Seattle'], ['num_of_guests', '2']]",( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,7,"Do you have any suggestions for an affordable hotel in the Seattle area available tomorrow night, accommodating two guests?","( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( , ) ( S ) ) ( . ) )",0.8972974,8.0
Are there any cheap hotels for 7-day stay somewhere near Riverside,FindHotel,"[['location', 'Riverside'], ['stay_length', '7-day']]",( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),ParaQuality,8,"Is it possible to locate inexpensive lodging options where I can spend a week, preferably near Riverside?",( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) ),0.9082217,9.0
Send an email to Phil telling her that ''I got you'',SendMail,"[['contact', 'Phil'], ['message', 'I got you']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),ParaQuality,9,Send a message to Phil letting her know that ''I see your point'',( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),0.9544229,0.0
Give me 5 conference articles about text mining,FindArticles,"[['query', 'text mining'], ['count', '5'], ['article_type', 'conference articles']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),ParaQuality,10,Retrieve 5 conference articles that discuss text mining,( S ( VP ( VB ) ( NP ) ) ),0.9344979,1.0
I am looking for the latest scientific article related to Machine Learning,FindArticles,[],( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),ParaQuality,11,Could you find and present me with the latest research paper on Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( . ) ),0.867023,8.0
Create a comment saying ''Best Voice Ever'',CreateComment,"[['value', 'Best Voice Ever']]",( S ( VP ( VB ) ( NP ) ) ( '' ) ),ParaQuality,12,Compose a comment stating ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),0.9576077,1.0
Jump to the previous song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,13,Move to the last played song,( S ( VP ( VB ) ( PP ) ) ),0.94069374,0.0
Skip to the next song,NavigatePlaylist,[],( S ( VP ( VB ) ( PP ) ) ),ParaQuality,14,Skip to the upcoming music,( S ( VP ( VB ) ( PP ) ) ),0.91618705,0.0
Where can I upgrade my laptop ?,FindStores,"[['query', 'laptop']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),ParaQuality,15,Are there any places that offer upgrades for laptops?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),0.88003653,7.0
Could you offer three barbershops in Newtown,FindStores,"[['location', 'Newtown']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),ParaQuality,16,Do you know any barbershops in Newtown? I need at least three options.,( S ( SQ ( VBP ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ) ( . ) ),0.90022993,8.0
Let me have top three convenience stores near Newtown,FindStores,"[['location', 'Newtown'], ['business', 'convenience stores']]",( S ( VP ( VB ) ( S ) ) ),ParaQuality,17,Please provide a list of the top three convenience stores in the vicinity of Newtown.,( S ( INTJ ( UH ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9119505,4.0
I want reviews for McDonald's at Kensington st.,GetReviews,"[['location', 'Kensington st.'], ['business', ""McDonald's""]]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),ParaQuality,18,Do you have any information about the reviews of the McDonald's restaurant situated on Kensington Street?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9085089,4.0
How far is the closest cab,FindTaxi,[],( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ),ParaQuality,19,How close is the nearest taxi?,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),0.9387013,1.0
Request a taxi from the airport to home,BookTaxi,"[['from', 'airport'], ['to', 'home']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),ParaQuality,20,Book a ride from the airport to my place,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.9499945,0.0
What is the forecast for Harrison-Crawford State Forest,GetWeather,"[['geographic_poi', 'Harrison-Crawford State Forest']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,21,Could you give me an update on the weather conditions at Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9189089,8.0
what is the forecast for colder in Anston,GetWeather,"[['condition_temperature', 'colder'], ['city', 'Anston']]",( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),SNIPS,22,Could you provide me with the weather prediction for Anston when it's colder?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( SBAR ) ) ( . ) ),0.8878401,9.0
How hot is it in Pesotum,GetWeather,"[['condition_temperature', 'hot'], ['city', 'Pesotum']]",( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),SNIPS,23,I'm curious about the temperature in Pesotum.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ),0.9223918,8.0
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",BookRestaurant,"[['restaurant_type', 'pub'], ['served_dish', 'italian dressing'], ['party_size_number', '5'], ['timeRange', 'February 11, 2033']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,24,"Is there a pub available on February 11, 2033 that has Italian dressing and can host a party of size five?",( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( ADJP ) ) ( PP ( IN ) ( NP ) ) ( . ) ),0.91047406,10.0
Book a taverna in Equatorial Guinea this month for nine people.,BookRestaurant,"[['restaurant_type', 'taverna'], ['country', 'Equatorial Guinea'], ['timeRange', 'this month'], ['party_size_number', 'nine']]",( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),SNIPS,25,"Book a table at a local taverna in Equatorial Guinea for the next month, accommodating nine individuals.","( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ( , ) ( S ) ) ( . ) )",0.92657095,2.0
Book a table for eight people please,BookRestaurant,"[['party_size_number', 'eight']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),SNIPS,26,Could you help me secure a table for eight individuals?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.8873147,6.0
Please add Ruud Jolie to my playlist Guest List Polygon,AddToPlaylist,"[['artist', 'Ruud Jolie'], ['playlist_owner', 'my'], ['playlist', 'Guest List Polygon']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,27,Put Ruud Jolie on my Guest List Polygon playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.9377625,2.0
add this artist named Kirk Hammett to my playlist Party,AddToPlaylist,"[['music_item', 'artist'], ['artist', 'Kirk Hammett'], ['playlist_owner', 'my'], ['playlist', 'Party']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,28,put this singer called Kirk Hammett on my Party playlist,( S ( VP ( VB ) ( NP ) ( S ) ) ),0.9508403,1.0
I want to put a copy of this tune into Skatepark Punks,AddToPlaylist,"[['music_item', 'tune'], ['playlist', 'Skatepark Punks']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,29,Could you assist me in placing a copy of this track into Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9382765,6.0
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",RateBook,"[['object_name', 'With Lee in Virginia, A Story of the American Civil War'], ['object_part_of_series_type', 'chronicle'], ['rating_value', '4'], ['best_rating', '6']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,30,"I am looking to give a rating to With Lee in Virginia, A Story of the American Civil War chronicle number 4 out of a total incomplete series.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),0.88129634,2.0
Rate this album two out of 6,RateBook,"[['object_select', 'this'], ['object_type', 'album'], ['rating_value', 'two'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,31,Rate this album on a scale from two to six.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.8825582,2.0
Give the current part of the saga 4 points out of 6.,RateBook,"[['object_select', 'current'], ['object_part_of_series_type', 'saga'], ['rating_value', '4'], ['rating_unit', 'points'], ['best_rating', '6']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),SNIPS,32,Provide a score of 4 out of 6 points for the current installment in the saga.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.93412924,1.0
Can you play some fifties music by lavern baker,PlayMusic,"[['year', 'fifties'], ['artist', 'lavern baker']]",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,33,Is it possible for you to put on some fifties music performed by Lavern Baker?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) ),0.90234536,8.0
Play a 1964 track from Shahram Nazeri on Pandora.,PlayMusic,"[['year', '1964'], ['music_item', 'track'], ['artist', 'Shahram Nazeri'], ['service', 'Pandora']]",( S ( VP ( VB ) ( NP ) ) ( . ) ),SNIPS,34,Could you find and play a song from 1964 by Shahram Nazeri on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) ),0.92637235,8.0
Please play me some Satire music,PlayMusic,"[['genre', 'Satire']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),SNIPS,35,Could you please play some music that falls into the genre of Satire?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),0.89773655,8.0
When is Crime and Punishment U.S.A. showing?,SearchScreeningEvent,"[['movie_name', 'Crime and Punishment U.S.A.']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SNIPS,36,I would like to know when Crime and Punishment U.S.A. is being screened.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) ),0.90651816,6.0
find Fox Theatres with The Caretaker,SearchScreeningEvent,"[['location_name', 'Fox Theatres'], ['movie_name', 'The Caretaker']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ),SNIPS,37,find showtimes for the movie The Caretaker at Fox Theatres,( S ( VP ( VB ) ( NP ) ) ),0.90621936,1.0
I would like to watch The Wedding Ring at the movie theatre,SearchScreeningEvent,"[['movie_name', 'The Wedding Ring'], ['object_location_type', 'movie theatre']]",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SNIPS,38,Is there any cinema showing The Wedding Ring that I can go to?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),0.89382607,7.0
I want to read the book The Lion Sleeps Tonight,SearchCreativeWork,"[['object_type', 'book'], ['object_name', 'The Lion Sleeps Tonight']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SNIPS,39,Can you find me the publication called The Lion Sleeps Tonight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9029434,6.0
find Join the Dots: B-sides and Rarities,SearchCreativeWork,"[['object_name', 'Join the Dots: B-sides and Rarities']]",( S ( VP ( VB ) ( S ) ) ),SNIPS,40,find places with Join the Dots: B-sides and Rarities,( S ( VP ( VB ) ( NP ) ) ),0.95636064,1.0
Where can I buy a used copy of the game called I Lie Around?,SearchCreativeWork,"[['object_type', 'game'], ['object_name', 'I Lie Around']]",( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),SNIPS,41,Which place sells previously owned copies of the game called I Lie Around?,( FRAG ( SBAR ( WHNP ) ( S ) ) ( . ) ),0.93736356,7.0
please give me the cheapest flight from denver to pittsburgh,flight,"[['cost_relative', 'cheapest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),ATIS,42,Please assist me in locating the cheapest flight available from Denver to Pittsburgh.,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9264512,2.0
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,flight,"[['fromloc.city_name', 'milwaukee'], ['toloc.city_name', 'orlando'], ['depart_date.day_name', 'wednesday'], ['depart_time.period_of_day', 'evening'], ['depart_date.day_name', 'thursday'], ['depart_time.period_of_day', 'morning']]",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),ATIS,43,Can you help me book a ticket for a flight from Milwaukee to Orlando? My preferred options are either Wednesday evening or Thursday morning.,( S ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ( NP ( PRP$ ) ( VBN ) ( NNS ) ) ( VP ( VBP ) ( NP ) ) ( . ) ),0.90781385,10.0
what is the lowest fare from denver to pittsburgh,airfare,"[['cost_relative', 'lowest'], ['fromloc.city_name', 'denver'], ['toloc.city_name', 'pittsburgh']]",( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) ),ATIS,44,show me the lowest cost option for flying from Denver to Pittsburgh,( S ( VP ( VB ) ( NP ) ( NP ) ) ),0.8958501,5.0
